Age,Gender,Education,Scuba,Rec_fish,Spearfishing,Sailing,Snorkeling_freediving,Boating,Jetski,Kite_surfing,kayak,main_activity,main_activity_trim,visit_freq,habitat_1,habitat_2,habitat_3,seagrass_image,coral_image,seafood_ben,recr_fish_ben,biodiversity_ben,water_ben,beach_ben,cc_ben,her_ben,coast_ben,iconic_ben,sci_ben,edu_ben,seafood_cor,recr_fish_cor,biodiversity_cor,water_cor,beach_cor,cc_cor,her_cor,coast_cor,iconic_cor,sci_cor,edu_cor,seafood_sea,recr_fish_sea,biodiversity_sea,water_sea,beach_sea,cc_sea,her_sea,coast_sea,iconic_sea,sci_sea,edu_sea,wtp_cor,value1_cor,value5_cor,value10_cor,value50_cor,value100_cor,value500_cor,value1000_cor,min_cor,max_cor,wtp_sea,value1_sea,value5_sea,value10_sea,value50_sea,value100_sea,value500_sea,value1000_sea,min_sea,max_sea,cc_bel,threat_cor1,threat_cor2,threat_cor3,threat_sea1,threat_sea2,threat_sea3,cc_cor,cc_sea,p_d_cor,c_u_d_cor,r_f_cor,t_cor,d_cor,c_f_cor,c_t_cor,a_r_cor,i_a_cor,u_r_cor,p_d_sea,c_u_d_sea,r_f_sea,t_sea,d_sea,c_f_sea,c_t_sea,a_r_sea,i_a_sea,u_r_sea,sst_cor,o_a_cor,cyc_cor,w_q_cor,cots_cor,sst_sea,o_a_sea,cyc_sea,w_q_sea,cots_sea,soc_gbr,cul_gbr
25-34,F,Master's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Few times a year,Coral reef,Seagrass,Mangrove,poor,good,1,1,5,3,3,5,5,4,4,3,5,5,5,5,3,2,5,5,3,3,5,5,4,4,4,3,1,4,5,1,4,5,5,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,100,Global warming / bleaching,run off nutrient pollution,boating / diving breakage,Nutrient pollution,Fishing / Trawling damage,NA,immediate,immediate,3,2,3,3,3,3,3,4,1,4,4,3,3,2,5,4,5,4,1,4,5,4,4,3,5,4,3,4,4,1,4,3
18-24,M,Secondary Education,Y,Y,Y,N,Y,Y,N,N,N,Scuba,Scuba,About once a week,fringing reefs,vast reef flats,Reef walls,poor,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-34,M,Master's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Few times a year,Reef,sandy bottom,ocean,poor,good,1,3,5,4,4,1,5,5,5,5,5,5,5,5,3,3,3,3,3,5,5,5,5,5,5,3,3,3,3,3,3,3,3,Y,$1,NA,NA,$50,NA,NA,NA,1,50,Y,$1,NA,NA,$50,NA,NA,NA,1,50,100,water pollution,increase in temperature of the water,massive fishing,water pollution,increase in water temperature,NA,immediate,immediate,3,3,2,4,3,5,3,3,3,4,3,3,2,4,5,5,3,3,3,4,5,5,2,5,3,5,5,2,5,3,4,3
18-24,F,Master's degree,Y,N,N,Y,Y,N,N,N,N,Scuba,Scuba,Once a month,Corals,anemone,algae,very_poor,very_good,4,2,5,4,3,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,3,4,5,4,5,5,4,3,Y,$1,NA,NA,NA,NA,$500,NA,1,500,Y,$1,NA,NA,NA,NA,$500,NA,1,500,100,climate change and related extreme events,pollution / plastic,overfishing,overfishing,boat anchors,climate change extreme events,immediate,no_opinion,5,5,4,4,5,5,5,5,5,5,5,5,3,1,5,5,5,2,2,2,5,5,5,5,5,3,3,4,3,1,5,3
25-34,F,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Less than once a year,Reef,Marine,Mangroves,good,good,4,2,5,5,3,4,4,5,5,4,4,1,3,5,4,4,5,5,5,5,4,4,1,3,5,4,4,5,5,5,5,4,4,Y,NA,NA,NA,NA,$100,$500,NA,100,500,Y,NA,NA,NA,NA,$100,$500,NA,100,500,100,climate change,people activities,natural disasters,climate change,people activities,natural disasters,immediate,immediate,5,5,3,3,4,4,4,3,3,3,5,5,3,3,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,3,3,3
18-24,M,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Few times a year,Coral bommie,wreck,reefwall,poor,good,5,2,5,4,3,5,4,4,4,3,3,5,5,5,3,1,5,3,4,5,2,3,2,2,4,4,2,3,4,4,4,3,3,Y,$1,NA,NA,$50,NA,NA,NA,1,50,Y,$1,NA,$10,NA,NA,NA,NA,1,10,100,storm damage,Ocean acidification,global warming,motor boat activity,human interaction,Sea level rise,immediate,immediate,3,5,4,4,5,5,3,5,3,5,4,4,3,3,5,3,3,5,3,5,5,5,5,4,4,4,5,5,4,2,4,4
35-44,M,Secondary Education,N,Y,N,N,N,N,N,Y,N,Kite_surfing,Kite_surfing,Every day,Coral,Open water ,Sand islands,good,very_poor,4,3,5,2,5,4,1,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,Y,$1,NA,NA,NA,NA,$500,NA,1,500,N,NA,NA,NA,NA,NA,NA,NA,0,0,65,Shipping,Pollution ,Greed,Pollution ,Shipping,Dredging ,immediate,immediate,5,4,4,1,5,5,5,4,3,4,5,5,2,1,5,5,5,5,3,5,4,5,2,4,5,2,5,2,4,1,3,4
55-64,M,Secondary Education,N,N,N,Y,N,N,N,N,N,Sailing ,Sailing,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Ph. D,Y,N,Y,Y,Y,Y,N,Y,N,Kite_surfing,Kite_surfing,Every day,Coral reefs,Seagrass meadows,Mangroves,very_poor,very_good,3,1,4,5,4,5,3,3,3,4,4,4,3,5,2,2,1,3,4,2,5,4,4,4,4,2,2,2,3,3,5,5,4,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,100,Climate change,COTS (in AUs),Cyclones  (in Aus),Runoff/water quality,Climate change,Pollutants,immediate,immediate,1,1,1,1,2,2,1,3,1,1,2,1,1,1,2,3,1,4,1,1,5,3,3,3,4,3,2,3,4,1,3,4
25-34,F,Bachelor's degree,Y,N,N,Y,Y,Y,N,N,Y,Scuba,Scuba,Every day,Coral Reefs,Mangroves,Seagrass,poor,very_good,5,3,5,2,1,4,3,4,4,5,5,5,5,5,2,2,3,3,2,3,5,4,5,5,5,4,3,2,3,2,4,5,4,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,100,Ocean acidification,Increased water temperature,"Land runoff and water pollution from foreign chemicals (oil spills, agricolture pesticides etc",Ocean acidification ,Land runoff and water pollution,destructive fishing practices,immediate,immediate,3,4,5,2,5,2,5,5,4,5,5,5,3,4,5,3,5,5,4,5,5,5,5,5,5,3,5,3,5,1,5,4
35-44,F,Master's degree,Y,N,N,N,N,N,N,N,N,Scuba,Scuba,Less than once a year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-64,F,Diploma,Y,N,N,N,Y,N,N,N,N,Scuba ,Scuba,Few times a year,Coral Reefs,Seaweed forests,Mangrove forests ,very_poor,very_good,1,1,5,1,4,5,5,5,4,3,3,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,3,3,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,100,Commercial Fishing,Plastic ,Climate change ,Commercial Fishing ,Plastic ,Climate change ,immediate,immediate,5,5,1,3,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,3,5,3,5,3,3,5,3,5,3,3,3
18-24,F,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Few times a year,Coral Reef,Sandy substrate,Seagrass,very_poor,very_good,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,F,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba,Scuba,Once a month,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-44,M,Master's degree,Y,N,N,N,Y,N,N,N,N,Scuba ,Scuba,Few times a year,Reef,Lagoon ,Rubble ,poor,good,1,1,5,4,5,5,2,4,5,5,5,5,5,5,4,5,4,2,5,5,5,5,4,4,3,2,3,5,2,2,5,5,4,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,NA,NA,NA,$50,NA,$500,NA,50,500,100,Rising SST,Overfishing ,Pollution,Climate change ,Dredging ,Trawling ,immediate,immediate,5,5,3,3,5,5,4,5,4,5,5,5,4,3,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,2,5,5
35-44,M,Secondary Education,Y,N,N,N,N,N,N,N,N,Scuba ,Scuba,Few times a year,Reef flat,Corals,Sandy bottom,very_poor,good,2,1,5,4,3,5,3,5,5,5,5,5,5,5,4,3,3,4,5,4,5,5,4,5,5,5,5,5,4,5,5,4,5,Y,NA,NA,NA,$50,NA,$500,NA,50,500,Y,$1,NA,NA,NA,$100,NA,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18-24,F,Bachelor's degree,Y,N,N,N,Y,N,N,N,N,Scuba ,Scuba,Few times a year,croal,benthic/sand/ocean floor,seagrass/algae,poor,good,2,1,5,3,3,5,4,5,5,4,4,5,5,5,4,4,5,3,5,4,5,5,5,5,5,4,4,5,3,4,5,5,5,Y,NA,NA,NA,NA,$100,NA,"$1,000",100,1000,Y,NA,NA,NA,$50,NA,$500,NA,50,500,100,climate change - bleaching,overfishing,water pollution,climate change ,algal blooms from eutrophication,human land-based impact (eg. infrastructure),immediate,immediate,5,5,2,3,5,4,5,5,4,5,5,5,2,3,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4
